




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	top_q10_wloss_bg_20tw.txt (Saccharomyces cerevisiae)
Reference List:	bg_20tw.txt (Saccharomyces cerevisiae)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	bg_20tw.txt - REFLIST (4543)	top_q10_wloss_bg_20tw.txt (478)	top_q10_wloss_bg_20tw.txt (expected)	top_q10_wloss_bg_20tw.txt (over/under)	top_q10_wloss_bg_20tw.txt (fold Enrichment)	top_q10_wloss_bg_20tw.txt (raw P-value)	top_q10_wloss_bg_20tw.txt (FDR)
GMP metabolic process (GO:0046037)	7	5	.74	+	6.79	2.22E-04	2.04E-02
GMP biosynthetic process (GO:0006177)	7	5	.74	+	6.79	2.22E-04	2.00E-02
positive regulation of proteolysis (GO:0045862)	11	6	1.16	+	5.18	3.83E-04	2.73E-02
chaperone cofactor-dependent protein refolding (GO:0051085)	11	6	1.16	+	5.18	3.83E-04	2.69E-02
'de novo' post-translational protein folding (GO:0051084)	19	9	2.00	+	4.50	5.16E-05	7.49E-03
regulation of proteolysis (GO:0030162)	19	8	2.00	+	4.00	3.74E-04	2.72E-02
'de novo' protein folding (GO:0006458)	27	11	2.84	+	3.87	4.23E-05	6.57E-03
tRNA aminoacylation for protein translation (GO:0006418)	37	15	3.89	+	3.85	1.80E-06	8.12E-04
pyruvate metabolic process (GO:0006090)	23	9	2.42	+	3.72	3.10E-04	2.49E-02
tRNA aminoacylation (GO:0043039)	40	15	4.21	+	3.56	5.74E-06	1.61E-03
amino acid activation (GO:0043038)	40	15	4.21	+	3.56	5.74E-06	1.52E-03
primary alcohol metabolic process (GO:0034308)	25	9	2.63	+	3.42	6.39E-04	3.69E-02
protein refolding (GO:0042026)	25	9	2.63	+	3.42	6.39E-04	3.64E-02
protein targeting to ER (GO:0045047)	31	11	3.26	+	3.37	1.86E-04	1.78E-02
organic cation transport (GO:0015695)	37	13	3.89	+	3.34	5.44E-05	7.65E-03
chaperone-mediated protein folding (GO:0061077)	26	9	2.74	+	3.29	8.88E-04	4.44E-02
purine ribonucleotide biosynthetic process (GO:0009152)	30	10	3.16	+	3.17	6.49E-04	3.65E-02
establishment of protein localization to endoplasmic reticulum (GO:0072599)	33	11	3.47	+	3.17	3.49E-04	2.71E-02
carboxylic acid transmembrane transport (GO:1905039)	44	14	4.63	+	3.02	9.82E-05	1.16E-02
purine ribonucleotide metabolic process (GO:0009150)	45	14	4.73	+	2.96	1.29E-04	1.35E-02
