,locus_tag,species,cluster_rep,fold
XP_003644081.1,Ecym_1004,e_cym,c_alb:XP_710661.1,2
XP_003644082.1,Ecym_1006,e_cym,XP_003644082.1,4
XP_003644085.1,Ecym_1009,e_cym,k_nag:XP_022463382.1,1
XP_003644086.1,Ecym_1010,e_cym,e_gos:NP_986291.1,4
XP_003644087.1,Ecym_1011,e_cym,XP_003644087.1,1
XP_003644090.1,Ecym_1014,e_cym,XP_003644090.1,4
XP_003644091.1,Ecym_1015,e_cym,XP_003644091.1,3
XP_003644093.1,Ecym_1017,e_cym,k_lac:XP_452225.1,4
XP_003644094.1,Ecym_1018,e_cym,e_gos:NP_986283.1,2
XP_003644095.1,Ecym_1019,e_cym,c_gla:XP_444991.1,4
XP_003644098.1,Ecym_1022,e_cym,n_cas:XP_003672971.1,4
XP_003644099.1,Ecym_1023,e_cym,XP_003644099.1,0
XP_003644100.1,Ecym_1024,e_cym,XP_003644100.1,1
XP_003644101.1,Ecym_1026,e_cym,XP_003644101.1,2
XP_003644102.1,Ecym_1027,e_cym,XP_003644102.1,0
XP_003644103.1,Ecym_1028,e_cym,XP_003644103.1,3
XP_003644105.1,Ecym_1030,e_cym,XP_003644105.1,0
XP_003644107.1,Ecym_1032,e_cym,XP_003644107.1,2
XP_003644108.1,Ecym_1033,e_cym,XP_003644108.1,2
XP_003644111.1,Ecym_1036,e_cym,XP_003644111.1,2
XP_003644113.1,Ecym_1038,e_cym,z_rou:XP_002497978.1,3
XP_003644114.1,Ecym_1039,e_cym,XP_003644114.1,1
XP_003644115.1,Ecym_1040,e_cym,XP_003644115.1,4
XP_003644119.1,Ecym_1044,e_cym,XP_003644119.1,2
XP_003644120.1,Ecym_1045,e_cym,XP_003644120.1,1
XP_003644121.1,Ecym_1046,e_cym,XP_003644121.1,3
XP_003644122.1,Ecym_1047,e_cym,XP_003644122.1,2
XP_003644124.1,Ecym_1049,e_cym,XP_003644124.1,1
XP_003644125.1,Ecym_1050,e_cym,XP_003644125.1,0
XP_003644126.1,Ecym_1051,e_cym,XP_003644126.1,4
