"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"variant_YNL106C_1881_guide_chrXIV_-_422610",12330.4886388889,-0.134660474110319,0.0348809131601487,0,1,1
"variant_YLR378C_1068_guide_chrXII_-_876112",15434.7302235468,0.155511422080436,0.0323964883389513,0,1,1
"variant_YNL297C_282_guide_chrXIV_+_76296",28707.3667660105,-0.021913028646778,0.0308935100100606,0,1,1
"neutral_YNL229C_27_guide_chrXIV_+_220175",23707.2131570888,0.138948075952147,0.0317923383394413,0,1,1
"variant_YBR025C_1167_guide_chrII_-_290696",1898.43799672712,-0.315752190505259,0.0742049374774207,0,1,1
"variant_YGR047C_1155_guide_chrVII_-_588314",6038.54644622474,-0.251837099397136,0.0580539133821515,0,1,1
"variant_YHR108W_42_guide_chrVIII_+_328347",10601.8543797701,-0.156334272198028,0.0457925634057156,0,1,1
"neutral_YBR088C_579_guide_chrII_+_425190",70268.6186407772,-0.123088073573968,0.0285067272665397,0,1,1
"variant_YNL075W_588_guide_chrXIV_-_486198",1408.94825512533,-0.205112322409549,0.0850963095434452,0,1,1
"variant_YML126C_594_guide_chrXIII_+_19940",17567.555284175,0.0511065138469075,0.0376224441327238,0,1,1
"random_new_40",115234.137604175,-0.0126117688468285,0.0238146793324515,0,1,1
"variant_YER159C_279_guide_chrV_-_491680",959.778033636127,-0.186629474322605,0.105455133570153,0,1,1
"neutral_YGL097W_489_guide_chrVII_+_322274",4896.53144641678,0.474208227118082,0.0467215931845572,0,1,1
"variant_YGR156W_990_guide_chrVII_+_801533",26316.82573983,0.0596470910507759,0.0308213771128562,0,1,1
"variant_YOR132W_1518_guide_chrXV_-_574699",14683.959719742,0.0269389955909134,0.0336835223331771,0,1,1
"variant_YER168C_222_guide_chrV_-_522449",87120.6895854004,-0.0124178582631293,0.0247747899162297,0,1,1
"variant_YMR282C_114_guide_chrXIII_+_834984",19886.6034508414,-0.0880559447559133,0.0336894662888637,0,1,1
"variant_YER061C_882_guide_chrV_-_278742",511.047172158573,0.483249224364432,0.133224267728767,0,1,1
"variant_YIL150C_1422_guide_chrIX_-_61301",21338.9971286017,-0.133995842990237,0.0362732376091057,0,1,1
"neutral_YKL139W_144_guide_chrXI_+_183105",6209.6840452327,0.190202636913631,0.0540563245149593,0,1,1
"neutral_YDR464W_438_guide_chrIV_+_1389306",3725.12052963061,-0.0473202142106617,0.0588563120769493,0,1,1
"neutral_YGL253W_1401_guide_chrVII_+_25339",24227.6717756649,-0.310981873907477,0.0363802182838495,0,1,1
"neutral_YGR274C_1755_guide_chrVII_+_1041340",23264.7275537664,-0.0641419959309567,0.0307021183118976,0,1,1
"neutral_YDR188W_1572_guide_chrIV_-_837996",6883.74465754311,0.0895021344572554,0.0523296247377777,0,1,1
"neutral_YCR071C_57_guide_chrIII_+_240479",351.553617694152,-0.0731283188548342,0.165794983716948,0,1,1
"variant_YOR063W_60_guide_chrXV_-_444742",19172.7561222652,0.00545474956268817,0.0311581185375125,0,1,1
"variant_YJL041W_102_guide_chrX_-_366010",32203.3876999119,-0.0454407949310715,0.0331067710137969,0,1,1
"variant_YMR190C_1767_guide_chrXIII_+_643483",18405.6066324557,-0.127971914840252,0.0317751404278718,0,1,1
"variant_YBL051C_1638_guide_chrII_+_123113",18138.5249941547,0.0875862422380468,0.0526214876368522,0,1,1
"variant_YLR085C_1233_guide_chrXII_+_300757",9938.29407513214,-0.0880390850597077,0.0426160760127886,0,1,1
"variant_YJL046W_771_guide_chrX_-_353163",16978.4370816136,0.156106497524695,0.0344906495717336,0,1,1
"neutral_YNL079C_366_guide_chrXIV_+_478792",10972.0021684631,-0.00973080827117944,0.0386152639008547,0,1,1
"variant_YFL045C_366_guide_chrVI_+_44029",2534.87345948069,0.0170310534782125,0.0641029670285499,0,1,1
"neutral_YLR115W_30_guide_chrXII_+_378016",4624.35620484217,-0.081407699940496,0.0547089870927392,0,1,1
"neutral_YML063W_177_guide_chrXIII_+_146662",13876.1944132983,-0.00862110705504449,0.0348282731583363,0,1,1
"variant_YMR179W_1614_guide_chrXIII_-_621475",14178.0844171024,-0.0713495713619234,0.0336626916007712,0,1,1
"variant_YBR143C_1071_guide_chrII_+_531103",10434.1483845023,0.129557161823284,0.0457772101087525,0,1,1
"variant_YLR056W_141_guide_chrXII_+_254005",6134.85869913616,-0.0824508464179361,0.0449724600392169,0,1,1
"variant_YGL253W_738_guide_chrVII_-_24673",10909.1413271399,-0.318694525436005,0.0381851448309135,0,1,1
"neutral_YPR048W_36_guide_chrXVI_+_659215",21055.2832444599,0.104416926174662,0.0352231564142232,0,1,1
"variant_YOR310C_141_guide_chrXV_+_898212",9024.04683119729,0.0618465730235754,0.0388749492249208,0,1,1
"variant_YDR388W_1143_guide_chrIV_+_1251330",74553.3344725551,0.345826071707835,0.0287539634793126,0,1,1
"neutral_YDR021W_960_guide_chrIV_+_487764",3045.26274916042,0.174270547209853,0.0598918795411908,0,1,1
"variant_YDR050C_630_guide_chrIV_+_555835",52769.8765503227,0.00607460461278665,0.0328112346173192,0,1,1
